task_id,module,system,difficulty,law_version,noise,code_assisted,status,task_completed,run_experiment_calls,run_experiment_success_calls,evaluate_calls,evaluate_success_calls,has_final_law,protocol_core_ok,protocol_full_ok,l2_not_updated_warning,total_tokens,exact_accuracy,rmsle,symbolic_equivalent,evaluation_error
nb_0019_m4_snell_law_easy_vanilla_equation_v0_n0p0,m4_snell_law,vanilla_equation,easy,v0,0.0,False,completed,False,1,1,1,1,True,False,False,True,18625,0.0,,False,Failed to execute or evaluate submitted code: math domain error
nb_0020_m4_snell_law_easy_simple_system_v0_n0p0,m4_snell_law,simple_system,easy,v0,0.0,False,completed,False,1,1,1,1,True,False,False,True,25723,0.0,,False,Failed to execute or evaluate submitted code: math domain error
nb_0021_m4_snell_law_easy_complex_system_v0_n0p0,m4_snell_law,complex_system,easy,v0,0.0,False,completed,False,2,2,2,2,True,False,False,True,28136,0.0,,False,Failed to execute or evaluate submitted code: math domain error
nb_0022_m5_radioactive_decay_easy_vanilla_equation_v0_n0p0,m5_radioactive_decay,vanilla_equation,easy,v0,0.0,False,completed,True,1,1,2,2,True,True,True,True,22958,0.0,0.10731465718830085,False,
nb_0023_m5_radioactive_decay_easy_simple_system_v0_n0p0,m5_radioactive_decay,simple_system,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,26911,0.0,0.10727401770012614,False,
nb_0024_m5_radioactive_decay_easy_complex_system_v0_n0p0,m5_radioactive_decay,complex_system,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,27858,0.0,0.10247504423687205,False,
nb_0025_m6_underdamped_harmonic_easy_vanilla_equation_v0_n0p0,m6_underdamped_harmonic,vanilla_equation,easy,v0,0.0,False,completed,True,3,3,1,1,True,True,True,True,37919,0.0,0.0004644191757646194,False,
nb_0026_m6_underdamped_harmonic_easy_simple_system_v0_n0p0,m6_underdamped_harmonic,simple_system,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,26352,0.0,0.0005353235596187642,False,
nb_0027_m6_underdamped_harmonic_easy_complex_system_v0_n0p0,m6_underdamped_harmonic,complex_system,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,31584,0.0,0.00021079623068862588,False,
nb_0028_m7_malus_law_easy_vanilla_equation_v0_n0p0,m7_malus_law,vanilla_equation,easy,v0,0.0,False,completed,True,2,2,2,2,True,True,True,True,16105,0.0,2.162306247716612,False,
nb_0029_m7_malus_law_easy_simple_system_v0_n0p0,m7_malus_law,simple_system,easy,v0,0.0,False,completed,True,0,0,1,1,True,False,False,True,19697,0.0,2.2241153099132487,False,
nb_0030_m7_malus_law_easy_complex_system_v0_n0p0,m7_malus_law,complex_system,easy,v0,0.0,False,completed,True,3,3,2,2,True,True,True,True,68173,0.0,0.5530661230803523,False,
nb_0031_m8_sound_speed_easy_vanilla_equation_v0_n0p0,m8_sound_speed,vanilla_equation,easy,v0,0.0,False,completed,True,2,2,1,1,True,True,True,True,27223,0.0,0.8952055267055902,False,
nb_0032_m8_sound_speed_easy_simple_system_v0_n0p0,m8_sound_speed,simple_system,easy,v0,0.0,False,completed,True,3,3,1,1,True,True,True,True,47229,1.0,3.5460460839113366e-16,True,
nb_0033_m8_sound_speed_easy_complex_system_v0_n0p0,m8_sound_speed,complex_system,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,20636,0.0,0.8157084876274883,False,
nb_0034_m9_hooke_law_easy_vanilla_equation_v0_n0p0,m9_hooke_law,vanilla_equation,easy,v0,0.0,False,completed,True,2,2,1,1,True,True,True,True,22557,1.0,0.0,True,
nb_0035_m9_hooke_law_easy_simple_system_v0_n0p0,m9_hooke_law,simple_system,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,14345,1.0,2.3159141103177454,True,
nb_0036_m9_hooke_law_easy_complex_system_v0_n0p0,m9_hooke_law,complex_system,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,19155,0.0,2.410191598387752,False,
